日期	区县	诊断	来源口径	计数
2022-03-27	嘉定	确诊	社会面	3
2022-03-27	嘉定	确诊	转诊	0
2022-03-27	嘉定	无症状	闭环	236
2022-03-27	嘉定	无症状	社会面	12
2022-03-27	金山	确诊	闭环	0
2022-03-27	金山	确诊	社会面	0
2022-03-27	金山	确诊	转诊	0
2022-03-27	金山	无症状	闭环	10
2022-03-27	金山	无症状	社会面	3
2022-03-27	松江	确诊	闭环	0
2022-03-27	松江	确诊	社会面	1
2022-03-27	松江	确诊	转诊	0
2022-03-27	松江	无症状	闭环	174
2022-03-27	松江	无症状	社会面	15
2022-03-27	青浦	确诊	闭环	0
2022-03-27	青浦	确诊	社会面	0
2022-03-27	青浦	确诊	转诊	0
2022-03-27	青浦	无症状	闭环	35
2022-03-27	青浦	无症状	社会面	8
2022-03-27	奉贤	确诊	闭环	0
2022-03-27	奉贤	确诊	社会面	0
2022-03-27	奉贤	确诊	转诊	0
2022-03-27	奉贤	无症状	闭环	40
2022-03-27	奉贤	无症状	社会面	5
2022-03-27	崇明	确诊	闭环	0
2022-03-27	崇明	确诊	社会面	0
2022-03-27	崇明	确诊	转诊	0
2022-03-27	崇明	无症状	闭环	236
2022-03-27	崇明	无症状	社会面	0
2022-03-28	浦东	确诊	闭环	6
2022-03-28	浦东	确诊	社会面	33
2022-03-28	浦东	确诊	转诊	0
2022-03-28	浦东	无症状	闭环	2100
2022-03-28	浦东	无症状	社会面	367
2022-03-28	黄浦	确诊	闭环	0
2022-03-28	黄浦	确诊	社会面	0
2022-03-28	黄浦	确诊	转诊	1
2022-03-28	黄浦	无症状	闭环	266
2022-03-28	黄浦	无症状	社会面	16
2022-03-28	静安	确诊	闭环	0
2022-03-28	静安	确诊	社会面	3
2022-03-28	静安	确诊	转诊	7
2022-03-28	静安	无症状	闭环	90
2022-03-28	静安	无症状	社会面	4
2022-03-28	徐汇	确诊	闭环	0
2022-03-28	徐汇	确诊	社会面	5
2022-03-28	徐汇	确诊	转诊	1
2022-03-28	徐汇	无症状	闭环	60
2022-03-28	徐汇	无症状	社会面	25
2022-03-28	长宁	确诊	闭环	0
2022-03-28	长宁	确诊	社会面	7
2022-03-28	长宁	确诊	转诊	0
2022-03-28	长宁	无症状	闭环	99
2022-03-28	长宁	无症状	社会面	9
2022-03-28	普陀	确诊	闭环	0
2022-03-28	普陀	确诊	社会面	2
